a,b,c,d,respuesta
 10.0  0.1  0.1  0.1   279.3500
 10.0  0.3  0.3  0.3    79.5100
 10.0  0.5  0.5  0.5    56.3200
 10.0  0.7  0.7  0.7    52.8100
 10.0  0.9  0.9  0.9    46.9200
 30.0  0.1  0.3  0.5   176.6600
 30.0  0.3  0.5  0.7    63.4500
 30.0  0.5  0.7  0.9    56.1000
 30.0  0.7  0.9  0.1    46.9300
 30.0  0.9  0.1  0.3   146.0100
 50.0  0.1  0.5  0.9   125.1400
 50.0  0.3  0.7  0.1    89.8600
 50.0  0.5  0.9  0.3    47.3900
 50.0  0.7  0.1  0.5    93.3200
 50.0  0.9  0.3  0.7   109.6000
 70.0  0.1  0.7  0.3   143.2900
 70.0  0.3  0.9  0.5    78.6800
 70.0  0.5  0.1  0.7   161.5900
 70.0  0.7  0.3  0.9   185.8300
 70.0  0.9  0.5  0.1   233.7600
 90.0  0.1  0.9  0.7   129.3600
 90.0  0.3  0.1  0.9   115.4400
 90.0  0.5  0.3  0.1   118.2900
 90.0  0.7  0.5  0.3   144.3300
 90.0  0.9  0.7  0.5   254.4600
