a,b,c,d,e,f,g,h,respuesta
10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,360.3500
10.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,369.7000
10.0,0.1,0.1,0.1,0.9,0.9,0.9,0.9,368.4100
10.0,0.5,0.5,0.5,0.1,0.1,0.1,0.5,71.1900
10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.9,51.1900
10.0,0.5,0.5,0.5,0.9,0.9,0.9,0.1,51.8800
10.0,0.9,0.9,0.9,0.1,0.1,0.1,0.9,59.3600
10.0,0.9,0.9,0.9,0.5,0.5,0.5,0.1,50.7800
10.0,0.9,0.9,0.9,0.9,0.9,0.9,0.5,50.4300
50.0,0.1,0.5,0.9,0.1,0.5,0.9,0.1,114.6400
50.0,0.1,0.5,0.9,0.5,0.9,0.1,0.5,134.0900
50.0,0.1,0.5,0.9,0.9,0.1,0.5,0.9,80.0100
50.0,0.5,0.9,0.1,0.1,0.5,0.9,0.5,61.6900
50.0,0.5,0.9,0.1,0.5,0.9,0.1,0.9,52.2600
50.0,0.5,0.9,0.1,0.9,0.1,0.5,0.1,52.2400
50.0,0.9,0.1,0.5,0.1,0.5,0.9,0.9,147.2100
50.0,0.9,0.1,0.5,0.5,0.9,0.1,0.1,152.3500
50.0,0.9,0.1,0.5,0.9,0.1,0.5,0.5,276.8700
90.0,0.1,0.9,0.5,0.1,0.9,0.5,0.1,163.0700
90.0,0.1,0.9,0.5,0.5,0.1,0.9,0.5,85.8000
90.0,0.1,0.9,0.5,0.9,0.5,0.1,0.9,130.9300
90.0,0.5,0.1,0.9,0.1,0.9,0.5,0.5,107.4700
90.0,0.5,0.1,0.9,0.5,0.1,0.9,0.9,111.2900
90.0,0.5,0.1,0.9,0.9,0.5,0.1,0.1,113.4900
90.0,0.9,0.5,0.1,0.1,0.9,0.5,0.9,110.7400
90.0,0.9,0.5,0.1,0.5,0.1,0.9,0.1,126.4200
90.0,0.9,0.5,0.1,0.9,0.5,0.1,0.5,127.4300
