a,b,c,d,e,f,g,h,respuesta
10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,47166.3900
10.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,51811.5700
10.0,0.1,0.1,0.1,0.9,0.9,0.9,0.9,50081.1200
10.0,0.5,0.5,0.5,0.1,0.1,0.1,0.5,1129.4800
10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.9,365.7900
10.0,0.5,0.5,0.5,0.9,0.9,0.9,0.1,873.0500
10.0,0.9,0.9,0.9,0.1,0.1,0.1,0.9,61839.8000
10.0,0.9,0.9,0.9,0.5,0.5,0.5,0.1,2182.0400
10.0,0.9,0.9,0.9,0.9,0.9,0.9,0.5,684.8500
50.0,0.1,0.5,0.9,0.1,0.5,0.9,0.1,827.8200
50.0,0.1,0.5,0.9,0.5,0.9,0.1,0.5,547.3200
50.0,0.1,0.5,0.9,0.9,0.1,0.5,0.9,286.9300
50.0,0.5,0.9,0.1,0.1,0.5,0.9,0.5,440.2300
50.0,0.5,0.9,0.1,0.5,0.9,0.1,0.9,281.2800
50.0,0.5,0.9,0.1,0.9,0.1,0.5,0.1,2177.3100
50.0,0.9,0.1,0.5,0.1,0.5,0.9,0.9,1310.4100
50.0,0.9,0.1,0.5,0.5,0.9,0.1,0.1,2261.3900
50.0,0.9,0.1,0.5,0.9,0.1,0.5,0.5,10887.9700
90.0,0.1,0.9,0.5,0.1,0.9,0.5,0.1,2681.2000
90.0,0.1,0.9,0.5,0.5,0.1,0.9,0.5,7670.0400
90.0,0.1,0.9,0.5,0.9,0.5,0.1,0.9,3849.2100
90.0,0.5,0.1,0.9,0.1,0.9,0.5,0.5,6346.2300
90.0,0.5,0.1,0.9,0.5,0.1,0.9,0.9,3702.9300
90.0,0.5,0.1,0.9,0.9,0.5,0.1,0.1,8549.7300
90.0,0.9,0.5,0.1,0.1,0.9,0.5,0.9,5537.3600
90.0,0.9,0.5,0.1,0.5,0.1,0.9,0.1,10556.2700
,90.0,0.9,0.5,0.1,0.9,0.5,0.1,0.5,9451.7600
