a,b,c,d,e,f,g,h,x1,x2,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136009521,.068665434,  -0.014898915963529,32487.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138788649,.066640810,  -0.014866248530737,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135999428,.069915668,  -0.014881639094321,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137832606,.069381120,  -0.014892976863278,75059.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137269025,.068459127,  -0.014900768081613,48015.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135875599,.067618074,  -0.014895617034987,29314.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136579612,.067746495,  -0.014898242417348,23727.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138173213,.068909337,  -0.014895910665868,25512.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134214263,.068758224,  -0.014883365751517,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138812475,.068454482,  -0.014892320119198,93939.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137278937,.069228249,  -0.014896144559579,55987.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136907005,.069345455,  -0.014894767146106,55379.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.132554293,.069710124,  -0.014839834201005,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139345867,.067231195,  -0.014873707427034,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134536045,.068457412,  -0.014888872290001,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135555962,.068137079,  -0.014897398962197,93778.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138097863,.067468120,  -0.014890004382518,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137758261,.067552286,  -0.014893233152592,53134.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139576556,.070081915,  -0.014868820516124,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137626999,.067803475,  -0.014896706845585,37011.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134990701,.068328699,  -0.014893537933703, 5944.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.132615040,.068334002,  -0.014859890790243,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134844639,.068035240,  -0.014891993930860, 4816.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134071306,.069417131,  -0.014872940152793,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135974300,.069600550,  -0.014887949624183,*******
