a1,a2,a3
156,260,26
71,1320,51
884,4560,1185
1362,1040,924
895201,1000000,1000000
6791,278920,8076
104,4260,163
197,2080,156
453,14420,342
70,3260,1425
125,2640,36
187,540,6
160,2260,263
428,4220,4588
1000000,1000000,86350
2536,1000000,6661
1624,6700,484
99,1780,1235
124,1800,367
221,2740,1110
3110,720,13
8898,1440,183
1690,6000,801
1016,1380,40
326,540,32
112,2380,103
1827,1280,217
374,1460,1296
517,200,1
1134,400,15
199,600,17
696,80,28
3720,360,21
338369,1000000,1843
130,1480,76
