a,b,c,d,respuesta
 10.0  0.1  0.1  0.1 66593.4000
 10.0  0.3  0.3  0.3   779.6900
 10.0  0.5  0.5  0.5   118.0800
 10.0  0.7  0.7  0.7   143.6300
 10.0  0.9  0.9  0.9   314.3600
 30.0  0.1  0.3  0.5   191.0700
 30.0  0.3  0.5  0.7   116.1200
 30.0  0.5  0.7  0.9   115.1500
 30.0  0.7  0.9  0.1   200.4100
 30.0  0.9  0.1  0.3   473.1400
 50.0  0.1  0.5  0.9   178.7600
 50.0  0.3  0.7  0.1   113.9900
 50.0  0.5  0.9  0.3   117.8000
 50.0  0.7  0.1  0.5   314.2400
 50.0  0.9  0.3  0.7   328.6600
 70.0  0.1  0.7  0.3   169.9800
 70.0  0.3  0.9  0.5   142.5700
 70.0  0.5  0.1  0.7   206.8700
 70.0  0.7  0.3  0.9   275.5800
 70.0  0.9  0.5  0.1   321.3300
 90.0  0.1  0.9  0.7   170.7200
 90.0  0.3  0.1  0.9   248.8800
 90.0  0.5  0.3  0.1   168.5600
 90.0  0.7  0.5  0.3   240.5300
 90.0  0.9  0.7  0.5   336.2100
