a,b,c,d,e,f,g,h,respuesta
10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,100000
10.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,100000
10.0,0.1,0.1,0.1,0.9,0.9,0.9,0.9,100000
10.0,0.5,0.5,0.5,0.1,0.1,0.1,0.5,92078.7700
10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.9,80123.5600
10.0,0.5,0.5,0.5,0.9,0.9,0.9,0.1,73954.2300
10.0,0.9,0.9,0.9,0.1,0.1,0.1,0.9,100000
10.0,0.9,0.9,0.9,0.5,0.5,0.5,0.1,92864.0900
10.0,0.9,0.9,0.9,0.9,0.9,0.9,0.5,74657.6800
50.0,0.1,0.5,0.9,0.1,0.5,0.9,0.1,49352.0200
50.0,0.1,0.5,0.9,0.5,0.9,0.1,0.5,40660.4300
50.0,0.1,0.5,0.9,0.9,0.1,0.5,0.9,49618.2600
50.0,0.5,0.9,0.1,0.1,0.5,0.9,0.5,51902.5400
50.0,0.5,0.9,0.1,0.5,0.9,0.1,0.9,64131.2600
50.0,0.5,0.9,0.1,0.9,0.1,0.5,0.1,72122.0800
50.0,0.9,0.1,0.5,0.1,0.5,0.9,0.9,90261.4100
50.0,0.9,0.1,0.5,0.5,0.9,0.1,0.1,84533.5300
50.0,0.9,0.1,0.5,0.9,0.1,0.5,0.5,99727.9900
90.0,0.1,0.9,0.5,0.1,0.9,0.5,0.1,92148.9200
90.0,0.1,0.9,0.5,0.5,0.1,0.9,0.5,96041.2200
90.0,0.1,0.9,0.5,0.9,0.5,0.1,0.9,99009.8400
90.0,0.5,0.1,0.9,0.1,0.9,0.5,0.5,97032.9600
90.0,0.5,0.1,0.9,0.5,0.1,0.9,0.9,100000
90.0,0.5,0.1,0.9,0.9,0.5,0.1,0.1,92237.0100
90.0,0.9,0.5,0.1,0.1,0.9,0.5,0.9,79292.1000
90.0,0.9,0.5,0.1,0.5,0.1,0.9,0.1,87410.5100
90.0,0.9,0.5,0.1,0.9,0.5,0.1,0.5,79432.5400
