a,b,c,d,e,f,g,h,x,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076440321,  -0.003931831676982,  127.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075391958,  -0.003926765946297,  674.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075803550,  -0.003929594951901,  416.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075142526,  -0.003924518345347,  384.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077617855,  -0.003929220371584,  197.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075570399,  -0.003928126581272,  132.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077164413,  -0.003931253523237,  641.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075145993,  -0.003924552355468,  154.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077318215,  -0.003930707293384,   83.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076118246,  -0.003931023690866,   80.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076103258,  -0.003930970005427,  245.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077577157,  -0.003929455029077,  219.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077005596,  -0.003931662449081,  883.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076862571,  -0.003931895432439,  104.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.074916922,  -0.003922136828861, 1037.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075412045,  -0.003926929393675,  334.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075114369,  -0.003924239236307,  421.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078097490,  -0.003925684499302,   46.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075175970,  -0.003924843166021,   33.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075960346,  -0.003930386051034,  423.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076988568,  -0.003931696919307,  793.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075097430,  -0.003924068838466,  979.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075194042,  -0.003925015652160,  169.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077042887,  -0.003931580615795,  679.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076216589,  -0.003931340398030,    2.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078394046,  -0.003922791587054,   34.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078107807,  -0.003925592891174,  513.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076402055,  -0.003931770185608,   51.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077808716,  -0.003927983216201,   12.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076912130,  -0.003931829243233,  301.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076521077,  -0.003931930989559,  384.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075720253,  -0.003929110513714,   97.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075608334,  -0.003928389333251,  288.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077429329,  -0.003930220971011,  983.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076473234,  -0.003931877140501,  585.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078272894,  -0.003924038382200,  304.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075461413,  -0.003927320010933,  190.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078339554,  -0.003923363458414,  356.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075140970,  -0.003924503061264,  806.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077534844,  -0.003929688119176,  129.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075131883,  -0.003924413453034,  274.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077267115,  -0.003930905141577,  140.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077829629,  -0.003927833984566,  643.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.075022765,  -0.003923295465628,  651.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.077485981,  -0.003929943468894,  406.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078409592,  -0.003922625117268,   51.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076840814,  -0.003931919614874,  911.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076095112,  -0.003930940228407,    9.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076990387,  -0.003931693323398,  805.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076771688,  -0.003931976687695,  247.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076271817,  -0.003931491243752,   46.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.076358214,  -0.003931688317200,  691.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078306338,  -0.003923703160841,    2.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.078090142,  -0.003925749343213,   73.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077387783,  -0.003930411798684,   95.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077778300,  -0.003928195445674,  635.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075237887,  -0.003925425319904,  935.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078305032,  -0.003923716378301,  886.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075431190,  -0.003927082746966,  106.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076936980,  -0.003931790247110,    3.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076416842,  -0.003931795049254,  376.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076860086,  -0.003931898345117,  124.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076273448,  -0.003931495404131,   35.0
