a1,a2,a3
2875,480,160
71,1400,98
1329,4000,2333
7311,1000000,174
1000000,1000000,539038
13135,27500,8126
89,3800,120
503,1380,482
180,10500,521
92,3120,120
107,1640,417
747,280,13
434,2100,463
518,3420,732
23350,1000000,1000000
1014,1000000,1298
394,5940,2075
111,1620,64
116,1900,474
112,3820,143
1107,600,329
666,720,153
531,1000000,1341
402,280,18
743,1380,20
138,2640,88
372,660,16
721,1280,421
293,140,3
109,60,172
1306,320,165
3935,620,16
789,780,26
161785,1000000,4468
145,2280,465
