a,b,c,d,x,y,calls
 10.00,  0.30,  0.30,  0.30,.077626726,  -0.003929167862158,   39.0
 10.00,  0.30,  0.30,  0.30,.075518972,  -0.003927755547818,   49.0
 10.00,  0.30,  0.30,  0.30,.076208259,  -0.003931315960786,   63.0
 10.00,  0.30,  0.30,  0.30,.075216184,  -0.003925224100344,  258.0
 10.00,  0.30,  0.30,  0.30,.078346725,  -0.003923289243062,  191.0
 10.00,  0.30,  0.30,  0.30,.077813176,  -0.003927951619051,  192.0
 10.00,  0.30,  0.30,  0.30,.077018476,  -0.003931635168754,   25.0
 10.00,  0.30,  0.30,  0.30,.075110238,  -0.003924197849844,   92.0
 10.00,  0.30,  0.30,  0.30,.076064189,  -0.003930823325967,   98.0
 10.00,  0.30,  0.30,  0.30,.075956097,  -0.003930366686460,   71.0
 10.00,  0.30,  0.30,  0.30,.078316559,  -0.003923599348626,   44.0
 10.00,  0.30,  0.30,  0.30,.078267757,  -0.003924089275258,   37.0
 10.00,  0.30,  0.30,  0.30,.075965241,  -0.003930408212574,   26.0
 10.00,  0.30,  0.30,  0.30,.075256279,  -0.003925593449004,  234.0
 10.00,  0.30,  0.30,  0.30,.076588822,  -0.003931982462202,   75.0
 10.00,  0.30,  0.30,  0.30,.077724360,  -0.003928557772607,   33.0
 10.00,  0.30,  0.30,  0.30,.075434277,  -0.003927107251136,  266.0
 10.00,  0.30,  0.30,  0.30,.077688895,  -0.003928786200546,  101.0
 10.00,  0.30,  0.30,  0.30,.077955214,  -0.003926881150533,   59.0
 10.00,  0.30,  0.30,  0.30,.076524451,  -0.003931934239487,  239.0
 10.00,  0.30,  0.30,  0.30,.077017650,  -0.003931636949699,   30.0
 10.00,  0.30,  0.30,  0.30,.075680573,  -0.003928864051125,   76.0
 10.00,  0.30,  0.30,  0.30,.076901981,  -0.003931844053722,   65.0
 10.00,  0.30,  0.30,  0.30,.078330393,  -0.003923457825132,    8.0
 10.00,  0.30,  0.30,  0.30,.077165972,  -0.003931248725275,   36.0
 10.00,  0.30,  0.30,  0.30,.077970539,  -0.003926758227868,  208.0
 10.00,  0.30,  0.30,  0.30,.075441477,  -0.003927164171467,  107.0
 10.00,  0.30,  0.30,  0.30,.077861935,  -0.003927598156856,   26.0
 10.00,  0.30,  0.30,  0.30,.076476615,  -0.003931881421388,   29.0
 10.00,  0.30,  0.30,  0.30,.076480198,  -0.003931885879244,   84.0
 10.00,  0.30,  0.30,  0.30,.077914156,  -0.003927203348196,   34.0
 10.00,  0.30,  0.30,  0.30,.075046362,  -0.003923543806095,   90.0
 10.00,  0.30,  0.30,  0.30,.076057705,  -0.003930798041731,   49.0
 10.00,  0.30,  0.30,  0.30,.077815890,  -0.003927932329187,   75.0
 10.00,  0.30,  0.30,  0.30,.077083705,  -0.003931481058397,   53.0
 10.00,  0.30,  0.30,  0.30,.075788633,  -0.003929511476686,   98.0
 10.00,  0.30,  0.30,  0.30,.077218111,  -0.003931079583030,   41.0
 10.00,  0.30,  0.30,  0.30,.078443556,  -0.003922256301972,  187.0
 10.00,  0.30,  0.30,  0.30,.078389506,  -0.003922839919032,  181.0
 10.00,  0.30,  0.30,  0.30,.078190575,  -0.003924834380716,   72.0
 10.00,  0.30,  0.30,  0.30,.078454006,  -0.003922141408357,   33.0
 10.00,  0.30,  0.30,  0.30,.075063584,  -0.003923722770892,  570.0
 10.00,  0.30,  0.30,  0.30,.075221531,  -0.003925273958137,   47.0
 10.00,  0.30,  0.30,  0.30,.077081788,  -0.003931485966472,   48.0
 10.00,  0.30,  0.30,  0.30,.075613429,  -0.003928423921805,  105.0
 10.00,  0.30,  0.30,  0.30,.078047329,  -0.003926120582033,  218.0
 10.00,  0.30,  0.30,  0.30,.076471468,  -0.003931874874648,   47.0
 10.00,  0.30,  0.30,  0.30,.077152387,  -0.003931290009489,  123.0
 10.00,  0.30,  0.30,  0.30,.075945697,  -0.003930318811348,   26.0
 10.00,  0.30,  0.30,  0.30,.077853002,  -0.003927664004341,  102.0
 10.00,  0.30,  0.30,  0.30,.076033761,  -0.003930702335798,   82.0
 10.00,  0.30,  0.30,  0.30,.076366886,  -0.003931705478942,   65.0
 10.00,  0.30,  0.30,  0.30,.075002610,  -0.003923080468134,   56.0
 10.00,  0.30,  0.30,  0.30,.075069818,  -0.003923787069092,   12.0
 10.00,  0.30,  0.30,  0.30,.076474144,  -0.003931878299960,   21.0
 10.00,  0.30,  0.30,  0.30,.075846328,  -0.003929826424321,   86.0
 10.00,  0.30,  0.30,  0.30,.077092700,  -0.003931457715013,   44.0
 10.00,  0.30,  0.30,  0.30,.075364530,  -0.003926538546585,   24.0
 10.00,  0.30,  0.30,  0.30,.075607270,  -0.003928382091139,   38.0
 10.00,  0.30,  0.30,  0.30,.077690539,  -0.003928775782900,   61.0
 10.00,  0.30,  0.30,  0.30,.078204031,  -0.003924707101139,   81.0
 10.00,  0.30,  0.30,  0.30,.077456953,  -0.003930088150665,  140.0
 10.00,  0.30,  0.30,  0.30,.078213566,  -0.003924616236104,   40.0
 10.00,  0.30,  0.30,  0.30,.076295546,  -0.003931550095433,  158.0
 10.00,  0.30,  0.30,  0.30,.076362920,  -0.003931697690126,   69.0
 10.00,  0.30,  0.30,  0.30,.075824655,  -0.003929710620195,   47.0
 10.00,  0.30,  0.30,  0.30,.076135587,  -0.003931084014489,  115.0
 10.00,  0.30,  0.30,  0.30,.076704052,  -0.003932003404466,   48.0
 10.00,  0.30,  0.30,  0.30,.075254404,  -0.003925576417414,   48.0
 10.00,  0.30,  0.30,  0.30,.077848035,  -0.003927700414466,   39.0
 10.00,  0.30,  0.30,  0.30,.075951385,  -0.003930345080611,   46.0
 10.00,  0.30,  0.30,  0.30,.075699849,  -0.003928985043200,   50.0
 10.00,  0.30,  0.30,  0.30,.077055365,  -0.003931551287335,  128.0
 10.00,  0.30,  0.30,  0.30,.077482552,  -0.003929960834662,  143.0
 10.00,  0.30,  0.30,  0.30,.077231461,  -0.003931033544552,   38.0
 10.00,  0.30,  0.30,  0.30,.077770582,  -0.003928248391718,   36.0
 10.00,  0.30,  0.30,  0.30,.077720008,  -0.003928586221149,   40.0
 10.00,  0.30,  0.30,  0.30,.075368672,  -0.003926573195608,   29.0
 10.00,  0.30,  0.30,  0.30,.076648723,  -0.003932003810664,   82.0
 10.00,  0.30,  0.30,  0.30,.074966700,  -0.003922690848659,  287.0
 10.00,  0.30,  0.30,  0.30,.075935684,  -0.003930272059703,   37.0
 10.00,  0.30,  0.30,  0.30,.078369651,  -0.003923049839516,   23.0
 10.00,  0.30,  0.30,  0.30,.076680170,  -0.003932005948995,   59.0
 10.00,  0.30,  0.30,  0.30,.075724177,  -0.003929134332296,  129.0
 10.00,  0.30,  0.30,  0.30,.077534653,  -0.003929689145733,   61.0
 10.00,  0.30,  0.30,  0.30,.078095037,  -0.003925706184139,  172.0
 10.00,  0.30,  0.30,  0.30,.075946042,  -0.003930320409390,   27.0
 10.00,  0.30,  0.30,  0.30,.075293246,  -0.003925924745512,   28.0
 10.00,  0.30,  0.30,  0.30,.077809135,  -0.003927980252771,   21.0
 10.00,  0.30,  0.30,  0.30,.076176508,  -0.003931218761601,  115.0
 10.00,  0.30,  0.30,  0.30,.077921593,  -0.003927145754414,  125.0
 10.00,  0.30,  0.30,  0.30,.074950895,  -0.003922516695531,   72.0
 10.00,  0.30,  0.30,  0.30,.077164615,  -0.003931252900644,  194.0
 10.00,  0.30,  0.30,  0.30,.077494735,  -0.003929898811558,   29.0
 10.00,  0.50,  0.50,  0.50,.076627831,  -0.003931998938567,  109.0
 10.00,  0.50,  0.50,  0.50,.076316654,  -0.003931599438304,   95.0
 10.00,  0.50,  0.50,  0.50,.078333360,  -0.003923427316045,   17.0
 10.00,  0.50,  0.50,  0.50,.077035342,  -0.003931597876347,   20.0
 10.00,  0.50,  0.50,  0.50,.076374774,  -0.003931720675656,   30.0
 10.00,  0.50,  0.50,  0.50,.077554996,  -0.003929578493478,    8.0
 10.00,  0.50,  0.50,  0.50,.077306052,  -0.003930755863621,   19.0
 10.00,  0.50,  0.50,  0.50,.076598027,  -0.003931987216986,   17.0
 10.00,  0.50,  0.50,  0.50,.078176944,  -0.003924962188369,   12.0
 10.00,  0.50,  0.50,  0.50,.076545461,  -0.003931952860689,   17.0
 10.00,  0.50,  0.50,  0.50,.076314961,  -0.003931595587035,   19.0
 10.00,  0.50,  0.50,  0.50,.077660373,  -0.003928964270552,   14.0
 10.00,  0.50,  0.50,  0.50,.075235860,  -0.003925406657809,   14.0
 10.00,  0.50,  0.50,  0.50,.078135477,  -0.003925343983637,   30.0
 10.00,  0.50,  0.50,  0.50,.077084277,  -0.003931479587198,    4.0
 10.00,  0.50,  0.50,  0.50,.078390488,  -0.003922829475953,   22.0
 10.00,  0.50,  0.50,  0.50,.076728975,  -0.003931996914137,   12.0
 10.00,  0.50,  0.50,  0.50,.075910805,  -0.003930153124591,   22.0
 10.00,  0.50,  0.50,  0.50,.075396572,  -0.003926803725579,  107.0
 10.00,  0.50,  0.50,  0.50,.076503185,  -0.003931912547909,   19.0
 10.00,  0.50,  0.50,  0.50,.075196058,  -0.003925034768619,   24.0
 10.00,  0.50,  0.50,  0.50,.077860277,  -0.003927610414123,    9.0
 10.00,  0.50,  0.50,  0.50,.076217406,  -0.003931342770638,   23.0
 10.00,  0.50,  0.50,  0.50,.078184416,  -0.003924892272331,   22.0
 10.00,  0.50,  0.50,  0.50,.078348448,  -0.003923271360964,  104.0
 10.00,  0.50,  0.50,  0.50,.075424743,  -0.003927031372916,  313.0
 10.00,  0.50,  0.50,  0.50,.077371039,  -0.003930485673044,   26.0
 10.00,  0.50,  0.50,  0.50,.076257892,  -0.003931455040133,   25.0
 10.00,  0.50,  0.50,  0.50,.076090356,  -0.003930922643633,  116.0
 10.00,  0.50,  0.50,  0.50,.077905631,  -0.003927268946943,    7.0
 10.00,  0.50,  0.50,  0.50,.077455232,  -0.003930096563147,   19.0
 10.00,  0.50,  0.50,  0.50,.075314431,  -0.003926110601869,   18.0
 10.00,  0.50,  0.50,  0.50,.077354019,  -0.003930558976299,   95.0
 10.00,  0.50,  0.50,  0.50,.076462652,  -0.003931863271424,   27.0
 10.00,  0.50,  0.50,  0.50,.075986069,  -0.003930500794504,   24.0
 10.00,  0.50,  0.50,  0.50,.076253007,  -0.003931442046236,   25.0
 10.00,  0.50,  0.50,  0.50,.077666807,  -0.003928924538914,   32.0
 10.00,  0.50,  0.50,  0.50,.075969325,  -0.003930426585252,   28.0
 10.00,  0.50,  0.50,  0.50,.077680059,  -0.003928841904211,   75.0
 10.00,  0.50,  0.50,  0.50,.076703492,  -0.003932003505373,  120.0
 10.00,  0.50,  0.50,  0.50,.077182336,  -0.003931197468694,   19.0
 10.00,  0.50,  0.50,  0.50,.078376577,  -0.003922976886867,   29.0
 10.00,  0.50,  0.50,  0.50,.078209342,  -0.003924656558033,   25.0
 10.00,  0.50,  0.50,  0.50,.075124648,  -0.003924341724445,    8.0
 10.00,  0.50,  0.50,  0.50,.078133448,  -0.003925362398095,   20.0
 10.00,  0.50,  0.50,  0.50,.075673263,  -0.003928817541974,   25.0
 10.00,  0.50,  0.50,  0.50,.078094884,  -0.003925707534301,   15.0
 10.00,  0.50,  0.50,  0.50,.077017410,  -0.003931637467683,   33.0
 10.00,  0.50,  0.50,  0.50,.078237485,  -0.003924385859262,  111.0
 10.00,  0.50,  0.50,  0.50,.077770785,  -0.003928247002902,   30.0
 10.00,  0.50,  0.50,  0.50,.077106522,  -0.003931420860793,  112.0
 10.00,  0.50,  0.50,  0.50,.078459887,  -0.003922076454798,   28.0
 10.00,  0.50,  0.50,  0.50,.076638871,  -0.003932001856557,  123.0
 10.00,  0.50,  0.50,  0.50,.074932059,  -0.003922307010366,   34.0
 10.00,  0.50,  0.50,  0.50,.078251398,  -0.003924250242675,  110.0
 10.00,  0.50,  0.50,  0.50,.075562749,  -0.003928072466953,  109.0
 10.00,  0.50,  0.50,  0.50,.078246120,  -0.003924301831393,   13.0
 10.00,  0.50,  0.50,  0.50,.077919076,  -0.003927165285064,   25.0
 10.00,  0.50,  0.50,  0.50,.078006098,  -0.003926467455425,   15.0
 10.00,  0.50,  0.50,  0.50,.075853985,  -0.003929866612891,   15.0
 10.00,  0.50,  0.50,  0.50,.075794829,  -0.003929546324249,   12.0
 10.00,  0.50,  0.50,  0.50,.075197890,  -0.003925052108137,   12.0
 10.00,  0.50,  0.50,  0.50,.074934297,  -0.003922332045152,   24.0
 10.00,  0.50,  0.50,  0.50,.077021002,  -0.003931629698114,   24.0
 10.00,  0.50,  0.50,  0.50,.078385239,  -0.003922885240069,   30.0
 10.00,  0.50,  0.50,  0.50,.077252784,  -0.003930957707611,   23.0
 10.00,  0.50,  0.50,  0.50,.077530407,  -0.003929711913887,   66.0
 10.00,  0.50,  0.50,  0.50,.075756952,  -0.003929329441615,  284.0
 10.00,  0.50,  0.50,  0.50,.076006041,  -0.003930586965766,   22.0
 10.00,  0.50,  0.50,  0.50,.077062176,  -0.003931534868342,   15.0
 10.00,  0.50,  0.50,  0.50,.075887056,  -0.003930035888357,    6.0
 10.00,  0.50,  0.50,  0.50,.077454161,  -0.003930101788754,   12.0
 10.00,  0.50,  0.50,  0.50,.077473848,  -0.003930004579205,   19.0
 10.00,  0.50,  0.50,  0.50,.075840564,  -0.003929795920626,    2.0
 10.00,  0.50,  0.50,  0.50,.076817487,  -0.003931942235718,   14.0
 10.00,  0.50,  0.50,  0.50,.075579826,  -0.003928192742077,   24.0
 10.00,  0.50,  0.50,  0.50,.076356442,  -0.003931684751813,  271.0
 10.00,  0.50,  0.50,  0.50,.075950964,  -0.003930343143083,   16.0
 10.00,  0.50,  0.50,  0.50,.077078122,  -0.003931495290027,   21.0
 10.00,  0.50,  0.50,  0.50,.076253112,  -0.003931442327795,  102.0
 10.00,  0.50,  0.50,  0.50,.076952455,  -0.003931764003236,   11.0
 10.00,  0.50,  0.50,  0.50,.078331666,  -0.003923444743988,   24.0
 10.00,  0.50,  0.50,  0.50,.077754266,  -0.003928359104256,   27.0
 10.00,  0.50,  0.50,  0.50,.075122361,  -0.003924318982626,  116.0
 10.00,  0.50,  0.50,  0.50,.076470568,  -0.003931873712684,   98.0
 10.00,  0.50,  0.50,  0.50,.075719272,  -0.003929104539103,   97.0
 10.00,  0.50,  0.50,  0.50,.077008907,  -0.003931655536792,   26.0
 10.00,  0.50,  0.50,  0.50,.077995801,  -0.003926552461013,   24.0
 10.00,  0.50,  0.50,  0.50,.078020367,  -0.003926348594713,   27.0
 10.00,  0.50,  0.50,  0.50,.075228661,  -0.003925340157448,   16.0
 10.00,  0.50,  0.50,  0.50,.076742020,  -0.003931991955892,   27.0
 10.00,  0.50,  0.50,  0.50,.077772736,  -0.003928233651297,  111.0
 10.00,  0.50,  0.50,  0.50,.077033918,  -0.003931601093850,    6.0
 10.00,  0.50,  0.50,  0.50,.075899234,  -0.003930096459114,   32.0
 10.00,  0.50,  0.50,  0.50,.074932725,  -0.003922314471796,   17.0
 10.00,  0.50,  0.50,  0.50,.077321904,  -0.003930692380355,   22.0
 10.00,  0.50,  0.50,  0.50,.075607120,  -0.003928381072954,    9.0
 10.00,  0.50,  0.50,  0.50,.077601107,  -0.003929318182008,   17.0
 10.00,  0.50,  0.50,  0.50,.074989587,  -0.003922940147141,   26.0
 10.00,  0.50,  0.50,  0.50,.077578068,  -0.003929449893735,   50.0
 10.00,  0.70,  0.70,  0.70,.076124666,  -0.003931046247501,   11.0
 10.00,  0.70,  0.70,  0.70,.075511342,  -0.003927699039372,   10.0
 10.00,  0.70,  0.70,  0.70,.076897436,  -0.003931850476848,  243.0
 10.00,  0.70,  0.70,  0.70,.076644099,  -0.003932002969801,  128.0
 10.00,  0.70,  0.70,  0.70,.076034363,  -0.003930704788326,  226.0
 10.00,  0.70,  0.70,  0.70,.077030787,  -0.003931608123663,   15.0
 10.00,  0.70,  0.70,  0.70,.076653919,  -0.003932004594352,   16.0
 10.00,  0.70,  0.70,  0.70,.076088027,  -0.003930913983799,   29.0
 10.00,  0.70,  0.70,  0.70,.076337946,  -0.003931646343643,   18.0
 10.00,  0.70,  0.70,  0.70,.077900521,  -0.003927308050994,   81.0
 10.00,  0.70,  0.70,  0.70,.076219271,  -0.003931348171983,   12.0
 10.00,  0.70,  0.70,  0.70,.076996078,  -0.003931681939685,   22.0
 10.00,  0.70,  0.70,  0.70,.078088285,  -0.003925765682015,   10.0
 10.00,  0.70,  0.70,  0.70,.075442831,  -0.003927174838493,   10.0
 10.00,  0.70,  0.70,  0.70,.074973755,  -0.003922768060242,    8.0
 10.00,  0.70,  0.70,  0.70,.078135094,  -0.003925347467983,   13.0
 10.00,  0.70,  0.70,  0.70,.076079202,  -0.003930880844804,   19.0
 10.00,  0.70,  0.70,  0.70,.076175835,  -0.003931216631985,   12.0
 10.00,  0.70,  0.70,  0.70,.075476541,  -0.003927436558186,   11.0
 10.00,  0.70,  0.70,  0.70,.078234915,  -0.003924410779759,   14.0
 10.00,  0.70,  0.70,  0.70,.076913054,  -0.003931827862479,  104.0
 10.00,  0.70,  0.70,  0.70,.076874937,  -0.003931880361514,   13.0
 10.00,  0.70,  0.70,  0.70,.076053648,  -0.003930782083610,   19.0
 10.00,  0.70,  0.70,  0.70,.075604291,  -0.003928361770420,    3.0
 10.00,  0.70,  0.70,  0.70,.076505744,  -0.003931915309295,    9.0
 10.00,  0.70,  0.70,  0.70,.075248527,  -0.003925522858824,   13.0
 10.00,  0.70,  0.70,  0.70,.075133933,  -0.003924433712750,   22.0
 10.00,  0.70,  0.70,  0.70,.077066835,  -0.003931523468410,   71.0
 10.00,  0.70,  0.70,  0.70,.075991394,  -0.003930524020041,   17.0
 10.00,  0.70,  0.70,  0.70,.077115267,  -0.003931396925884,   20.0
 10.00,  0.70,  0.70,  0.70,.076450222,  -0.003931846075072,    9.0
 10.00,  0.70,  0.70,  0.70,.075183543,  -0.003924915708098,    8.0
 10.00,  0.70,  0.70,  0.70,.075287929,  -0.003925877636260,   20.0
 10.00,  0.70,  0.70,  0.70,.077902493,  -0.003927292983469,   16.0
 10.00,  0.70,  0.70,  0.70,.077220794,  -0.003931070420366,   17.0
 10.00,  0.70,  0.70,  0.70,.076700094,  -0.003932004074885,   75.0
 10.00,  0.70,  0.70,  0.70,.077348434,  -0.003930582638861,   74.0
 10.00,  0.70,  0.70,  0.70,.078433476,  -0.003922366495199,   28.0
 10.00,  0.70,  0.70,  0.70,.076833599,  -0.003931926977958,   15.0
 10.00,  0.70,  0.70,  0.70,.075263902,  -0.003925662490230,   13.0
 10.00,  0.70,  0.70,  0.70,.076633617,  -0.003932000563811,   17.0
 10.00,  0.70,  0.70,  0.70,.076157490,  -0.003931157466440,   10.0
 10.00,  0.70,  0.70,  0.70,.078174906,  -0.003924981194086,    7.0
 10.00,  0.70,  0.70,  0.70,.077854250,  -0.003927654836665,   92.0
 10.00,  0.70,  0.70,  0.70,.076877849,  -0.003931876673496,   85.0
 10.00,  0.70,  0.70,  0.70,.077354261,  -0.003930557946453,   17.0
 10.00,  0.70,  0.70,  0.70,.077312811,  -0.003930728985393,   13.0
 10.00,  0.70,  0.70,  0.70,.078252308,  -0.003924241329837,   85.0
