a,b,c,d,e,f,g,h,x1,x2,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138140197,.068303055,  -0.014897070068241,              1289.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134554902,.068769825,  -0.014887299899904,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137570659,.069522828,  -0.014891705731058,             13911.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136011801,.069029294,  -0.014896215622805,             91597.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136409667,.069174277,  -0.014896075331470,             96518.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138921595,.069567931,  -0.014884042865629,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138435474,.068981766,  -0.014893850041292,             19506.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135402576,.068586804,  -0.014895979393833,             24215.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136898281,.069051269,  -0.014898140682020,             81197.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137128019,.067840136,  -0.014898617114151,             87076.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137138096,.068206093,  -0.014900680773458,             79902.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135448185,.067879490,  -0.014895724538101,             76585.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136418960,.067213042,  -0.014891275166608,             68780.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137386260,.069513256,  -0.014892174700906,              3175.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138426787,.067586760,  -0.014889212601473,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139033921,.067622149,  -0.014883905287966,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134740954,.068115692,  -0.014891236875518,             69243.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.140079768,.067708744,  -0.014871345359519,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138404049,.068712362,  -0.014895344577406,             12621.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138607758,.067781811,  -0.014890048641583,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136692450,.069231224,  -0.014896002860132,             62255.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138224217,.067814998,  -0.014893425530656,             92851.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137482072,.067502312,  -0.014893833705129,             72147.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135042686,.068081466,  -0.014893785773748,              2358.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137554093,.067678981,  -0.014895733723929,             79493.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138762186,.067868125,  -0.014889535067469,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137879590,.067721306,  -0.014894620123231,             46864.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136848913,.067955084,  -0.014899828065153,             39562.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137796680,.068915838,  -0.014897646094647,             66789.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135771390,.067371983,  -0.014892296605830,             44077.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136289002,.069593624,  -0.014889497873987,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137319949,.069046515,  -0.014897937318558,             70777.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138120971,.068539583,  -0.014897429230750,             39728.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135498513,.068014654,  -0.014896687009243,             19673.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136584868,.069389121,  -0.014893691166127,             40799.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137381223,.067482081,  -0.014893937445404,             33945.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135456561,.066903146,  -0.014883005405579,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138700019,.068169230,  -0.014892368592460,             40649.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137089152,.068726661,  -0.014900353977091,             14146.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136425249,.068964839,  -0.014898248612258,              3010.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.132974413,.067268102,  -0.014862030246509,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139170116,.069292461,  -0.014885245328151,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135305809,.068681123,  -0.014894811896188,             26198.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138137338,.068164126,  -0.014896565596299,             32488.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136126480,.067982728,  -0.014899208964284,             70572.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136697925,.067485961,  -0.014895357056090,             37634.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.133674204,.067442298,  -0.014874782331486,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135652073,.066888036,  -0.014883528038141,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134330705,.068924643,  -0.014883272709220,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137183283,.068650257,  -0.014900548998386,             55790.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137293999,.069568874,  -0.014891392463847,             16750.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138273152,.068834605,  -0.014895726549290,             29977.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135411680,.068068958,  -0.014896362539615,             18024.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135843210,.069118729,  -0.014894425881245,             70184.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134865778,.067904997,  -0.014891662542600,             16877.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136480520,.068706322,  -0.014900125526998,             23728.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137015988,.066731615,  -0.014880705595650,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136871555,.068595372,  -0.014900932648408,             46028.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135161512,.068887537,  -0.014892156270918,             42968.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134669204,.068738890,  -0.014888762786273,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136922466,.068216406,  -0.014900959238512,             53533.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136474416,.067975320,  -0.014899849084649,             24140.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137084006,.067909210,  -0.014899239558048,             93399.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139016049,.069237920,  -0.014887218208725,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138295190,.069066591,  -0.014894109966080,             20915.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.133720386,.066200819,  -0.014851071431192,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135750422,.067871453,  -0.014897220090425,             52125.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138958490,.069487841,  -0.014884848533338,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134902983,.067254992,  -0.014885669843893,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137397596,.069818740,  -0.014886789251421,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138375384,.067204604,  -0.014883427694938,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136947515,.068136066,  -0.014900679324920,             58474.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135266099,.066897355,  -0.014881903907815,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.133802189,.068066753,  -0.014880236599106,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136827091,.068496102,  -0.014901147538602,             38795.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138523236,.069968581,  -0.014879829719280,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136981961,.069039449,  -0.014898265495269,              4386.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135167290,.067556473,  -0.014891326763908,               318.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134254015,.067260102,  -0.014879726515877,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136092260,.069681184,  -0.014887031410115,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137704362,.069091188,  -0.014896614755282,             95441.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136364870,.067159484,  -0.014890323531932,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136699937,.067549903,  -0.014896160200941,             44547.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137786188,.069510540,  -0.014891320126686,             29275.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138626027,.068251218,  -0.014893385421173,             35594.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134456815,.069223197,  -0.014881079283488,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.140989058,.067849282,  -0.014857456904910,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.141488913,.068247429,  -0.014851408899669,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.140225098,.068867631,  -0.014875249932355,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135517320,.068077308,  -0.014897018268589,             17366.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137930094,.069077752,  -0.014895883452020,              2055.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136938504,.067593971,  -0.014896472523705,             39689.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138380449,.067882960,  -0.014892926160845,             51276.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.131959552,.067959904,  -0.014846423955037,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137131918,.067335064,  -0.014892531070705,             42148.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.140436707,.069557508,  -0.014866738626607,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136302537,.068733467,  -0.014899566251193,             70391.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138203239,.069361253,  -0.014891617135316,             57461.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137149324,.066950586,  -0.014885343408600,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135459886,.068099798,  -0.014896747365597,              3267.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137537071,.068856609,  -0.014898869844626,             52733.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135517930,.066475888,  -0.014873251377038,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136313085,.067848468,  -0.014898792328257,             59017.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.140216898,.068483431,  -0.014875470137588,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135792016,.068827156,  -0.014896913518286,             35557.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135285207,.067683248,  -0.014893304252597,             94560.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135128492,.067310266,  -0.014888081476084,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136984548,.070106718,  -0.014880426816764,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135960118,.068788976,  -0.014897995668524,             99670.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136019514,.069157534,  -0.014894843894723,             17608.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137543663,.070049925,  -0.014881685634715,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.134807328,.068222906,  -0.014891960744649,             62813.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135725731,.065793564,  -0.014852156866961,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138150530,.068168574,  -0.014896503960172,             88969.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137340457,.069917883,  -0.014884808275248,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.141227332,.068895670,  -0.014858277153466,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135968790,.068988881,  -0.014896416420926,             76241.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136102538,.067000544,  -0.014887048724243,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136346474,.066819290,  -0.014883520665149,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135584167,.068538026,  -0.014897325455216,             10217.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136413552,.068366623,  -0.014900846839428,              3385.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139114604,.068490251,  -0.014889464950860,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.140573139,.069736795,  -0.014862217855302,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137735479,.069108407,  -0.014896354017996,             14202.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138286966,.069117281,  -0.014893732128361,             84847.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136666976,.067730058,  -0.014898107083297,              9356.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.140379987,.070553261,  -0.014847978704762,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138680769,.070083366,  -0.014876402988808,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137663012,.068601585,  -0.014899486329916,             45506.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138258577,.069469005,  -0.014889916460578,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135819291,.067131267,  -0.014888736346751,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139935867,.066061197,  -0.014831483763529,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135211463,.068474528,  -0.014895014906902,             19748.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137012926,.068190779,  -0.014900805918856,              7195.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136610986,.067450425,  -0.014894907519486,             59135.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135678928,.067347676,  -0.014891594578838,             86054.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135551492,.067652122,  -0.014894551854146,             65181.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139239310,.069307137,  -0.014884420353209,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133972195,.069774881,  -0.014864240897410,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138202026,.067931341,  -0.014894634113996,             15275.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136681528,.068133582,  -0.014900736231091,             31963.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138935371,.067989625,  -0.014888945758482,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137252214,.068407549,  -0.014900806656401,             60641.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138494027,.070300908,  -0.014872371455506,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135347128,.069726723,  -0.014881234838966,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137494352,.067531689,  -0.014894179735870,             68560.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139165905,.067310423,  -0.014877420714035,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137662889,.068261335,  -0.014899361506684,             12086.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139156272,.069235531,  -0.014885940361863,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136425019,.066412711,  -0.014873148858926,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139322171,.068345547,  -0.014886890842603,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138525350,.067971971,  -0.014892538433087,             32693.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138382495,.067798130,  -0.014892084735273,             24318.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.131747038,.068067207,  -0.014841479030550,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136176628,.067819484,  -0.014898295952591,             93141.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136809630,.068128955,  -0.014900727443836,             23632.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133983843,.067781583,  -0.014881623307813,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138384014,.067052328,  -0.014880285942766,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138343476,.068483224,  -0.014896040144251,             48617.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135109690,.069159399,  -0.014888741038809,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136915351,.070495827,  -0.014869799185344,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.134026000,.068255937,  -0.014883271973330,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137285191,.068242871,  -0.014900495862059,             45455.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138514695,.068541797,  -0.014894816901073,             69381.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137837824,.067264236,  -0.014888356861952,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137328232,.069017319,  -0.014898176333987,             84586.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136304870,.069401079,  -0.014892716033163,             54531.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139547437,.068732677,  -0.014884589372198,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136949699,.070993081,  -0.014853333830408,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135718784,.068372590,  -0.014898430255283,              8861.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133778260,.069864937,  -0.014859124087111,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.138150390,.068634719,  -0.014897131565190,             96611.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136296418,.069471668,  -0.014891588786850,             24717.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136046538,.068866815,  -0.014897805904053,             81559.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.134919838,.067451847,  -0.014888366734323,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136561865,.068425428,  -0.014901051248933,             25276.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136866274,.067200228,  -0.014890842306038,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137156004,.068517526,  -0.014900902436078,             26465.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136440030,.068821714,  -0.014899377066925,             49106.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.136862017,.069139862,  -0.014897232464412,             23169.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133481899,.066198024,  -0.014847930536344,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133429238,.067434086,  -0.014871171419595,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135113415,.066277058,  -0.014865751085382,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139765876,.068669307,  -0.014881959931768,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.139353168,.069415583,  -0.014882069444139,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135966637,.069642800,  -0.014887125705796,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.137311330,.067435465,  -0.014893517781319,              5249.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.135267893,.067997223,  -0.014895171291854,             59159.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.133993636,.067229628,  -0.014876330615112,            100000.0
