a,b,c,d,e,f,g,h,respuesta
10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,74918.1900
10.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,70997.8900
10.0,0.1,0.1,0.1,0.9,0.9,0.9,0.9,69923.0500
10.0,0.5,0.5,0.5,0.1,0.1,0.1,0.5,363.3900
10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.9,115.0800
10.0,0.5,0.5,0.5,0.9,0.9,0.9,0.1,354.7500
10.0,0.9,0.9,0.9,0.1,0.1,0.1,0.9,15179.6900
10.0,0.9,0.9,0.9,0.5,0.5,0.5,0.1,841.9000
10.0,0.9,0.9,0.9,0.9,0.9,0.9,0.5,217.8400
50.0,0.1,0.5,0.9,0.1,0.5,0.9,0.1,356.0000
50.0,0.1,0.5,0.9,0.5,0.9,0.1,0.5,207.3500
50.0,0.1,0.5,0.9,0.9,0.1,0.5,0.9,111.4300
50.0,0.5,0.9,0.1,0.1,0.5,0.9,0.5,147.6300
50.0,0.5,0.9,0.1,0.5,0.9,0.1,0.9,124.0100
50.0,0.5,0.9,0.1,0.9,0.1,0.5,0.1,789.2500
50.0,0.9,0.1,0.5,0.1,0.5,0.9,0.9,434.5400
50.0,0.9,0.1,0.5,0.5,0.9,0.1,0.1,745.1900
50.0,0.9,0.1,0.5,0.9,0.1,0.5,0.5,2749.7800
90.0,0.1,0.9,0.5,0.1,0.9,0.5,0.1,441.0600
90.0,0.1,0.9,0.5,0.5,0.1,0.9,0.5,160.0800
90.0,0.1,0.9,0.5,0.9,0.5,0.1,0.9,164.6300
90.0,0.5,0.1,0.9,0.1,0.9,0.5,0.5,251.1900
90.0,0.5,0.1,0.9,0.5,0.1,0.9,0.9,921.8100
90.0,0.5,0.1,0.9,0.9,0.5,0.1,0.1,703.8300
90.0,0.9,0.5,0.1,0.1,0.9,0.5,0.9,286.5300
90.0,0.9,0.5,0.1,0.5,0.1,0.9,0.1,1397.0400
90.0,0.9,0.5,0.1,0.9,0.5,0.1,0.5,352.0900
