a,b,c,d,respuesta
 10.0  0.1  0.1  0.1 **********
 10.0  0.3  0.3  0.3  3076.5700
 10.0  0.5  0.5  0.5   411.1200
 10.0  0.7  0.7  0.7   429.9700
 10.0  0.9  0.9  0.9   874.3800
 30.0  0.1  0.3  0.5   489.9900
 30.0  0.3  0.5  0.7   283.2800
 30.0  0.5  0.7  0.9   329.5900
 30.0  0.7  0.9  0.1   435.9200
 30.0  0.9  0.1  0.3   950.9500
 50.0  0.1  0.5  0.9   408.4600
 50.0  0.3  0.7  0.1   305.7400
 50.0  0.5  0.9  0.3   412.6600
 50.0  0.7  0.1  0.5   660.3200
 50.0  0.9  0.3  0.7   797.7400
 70.0  0.1  0.7  0.3   431.8100
 70.0  0.3  0.9  0.5   320.2200
 70.0  0.5  0.1  0.7   537.9900
 70.0  0.7  0.3  0.9   601.2200
 70.0  0.9  0.5  0.1   765.9000
 90.0  0.1  0.9  0.7   421.7700
 90.0  0.3  0.1  0.9   504.1200
 90.0  0.5  0.3  0.1   466.6200
 90.0  0.7  0.5  0.3   477.1800
 90.0  0.9  0.7  0.5   811.7400
