a,b,c,d,e,f,g,h,respuesta
10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,52250.5600
10.0,0.1,0.1,0.1,0.5,0.5,0.5,0.5,48300.3000
10.0,0.1,0.1,0.1,0.9,0.9,0.9,0.9,48467.3000
10.0,0.5,0.5,0.5,0.1,0.1,0.1,0.5,37654.8600
10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.9,24754.5800
10.0,0.5,0.5,0.5,0.9,0.9,0.9,0.1,55448.2600
10.0,0.9,0.9,0.9,0.1,0.1,0.1,0.9,60515.6100
10.0,0.9,0.9,0.9,0.5,0.5,0.5,0.1,52035.6500
10.0,0.9,0.9,0.9,0.9,0.9,0.9,0.5,61443.7100
50.0,0.1,0.5,0.9,0.1,0.5,0.9,0.1,56444.0800
50.0,0.1,0.5,0.9,0.5,0.9,0.1,0.5,58889.2900
50.0,0.1,0.5,0.9,0.9,0.1,0.5,0.9,32390.0400
50.0,0.5,0.9,0.1,0.1,0.5,0.9,0.5,88749.8800
50.0,0.5,0.9,0.1,0.5,0.9,0.1,0.9,77168.8300
50.0,0.5,0.9,0.1,0.9,0.1,0.5,0.1,60381.6700
50.0,0.9,0.1,0.5,0.1,0.5,0.9,0.9,61248.6000
50.0,0.9,0.1,0.5,0.5,0.9,0.1,0.1,24742.2900
50.0,0.9,0.1,0.5,0.9,0.1,0.5,0.5,91676.8500
90.0,0.1,0.9,0.5,0.1,0.9,0.5,0.1,84257.5500
90.0,0.1,0.9,0.5,0.5,0.1,0.9,0.5,71364.6900
90.0,0.1,0.9,0.5,0.9,0.5,0.1,0.9,88124.9900
90.0,0.5,0.1,0.9,0.1,0.9,0.5,0.5,88071.8500
90.0,0.5,0.1,0.9,0.5,0.1,0.9,0.9,99652.9300
90.0,0.5,0.1,0.9,0.9,0.5,0.1,0.1,65542.3100
90.0,0.9,0.5,0.1,0.1,0.9,0.5,0.9,53169.3100
90.0,0.9,0.5,0.1,0.5,0.1,0.9,0.1,70114.2300
90.0,0.9,0.5,0.1,0.9,0.5,0.1,0.5,57958.6800
